1647.333 1647.3 1647.387
1646.294 1646.064 1646.049
1485.767 1484.969 1485.175
1260.882 1261.215 1260.9
1189.473 1189.591 1190.381
921.3397 921.3868 921.481
868.714 868.5326 868.9919
739.8497 740.3839 740.441
1275.179 1274.855 1275.439
822.3777 824.5474 825.641
740.0737 740.3587 740.2887
682.27 682.3197 682.6039
1802.147 1802.265 1802.34
1608.038 1607.711 1607.219
1277.271 1277.19 1277.124
838.2897 837.6565 838.5135
1541.678 1543.563 1540.739
1115.644 1114.449 1114.585
713.4427 713.4655 713.5603
634.0467 633.9616 635.2052
633.5983 633.46 633.36
594.8807 594.5058 595.3703
555.486 555.5819 556.3577
743.6203 743.6023 743.4816
507.088 507.1119 507.1184
412.828 413.5071 413.7529
358.5033 357.8935 358.4858
301.8363 301.84 302.049
