521.5398 508.443 480.244
0.5038017 0.4343802 0.5077686
566.16 540.7993 496.3736
181.7435 180.355 180.8588
25.25355 25.2714 25.3924
1021.817 981.5048 740.0807
772.3081 726.1666 456.9283
351.2926 357.114 355.1068
1114.546 1095.997 911.3336
1833.287 1614.496 1304.436
112.8536 111.0069 114.0119
982.6869 999.8618 975.5504
191.4724 186.9759 165.8281
118.5203 111.9431 91.61851
297.2846 269.8036 215.2364
53.33355 54.1686 54.80132
148.3438 143.3236 123.5722
3.520661 3.552397 3.504793
79.19008 79.84463 77.74215
588.0436 616.7702 597.8221
20.48926 18.09124 21.48298
239.2026 243.3005 236.7491
968.8264 997.4579 984.3907
444.0595 440.7531 433.7474
986.1898 996.5851 1028.596
630.002 629.6628 633.3798
886.086 895.1683 887.2007
2735.859 2538 2484.627
