39.18149 33.28264 38.49521
40.6076 35.49025 39.64562
60.55934 46.20298 55.28132
109.9081 96.54744 98.75107
114.5177 99.72893 101.4942
170.2056 170.3821 353.8572
267.8162 200.3107 384.6248
677.8215 514.6889 996.4245
200.3484 116.6043 262.9646
222.6248 306.9957 356.2076
226.6651 313.077 351.0783
906.48 822.4621 1336.927
11.0876 11.62512 26.45355
20.37818 14.68959 26.26909
73.52727 77.14116 118.322
80.27702 82.49851 124.3815
29.2443 16.82975 26.59835
39.23901 28.62149 33.72694
41.53388 31.42413 36.88066
1100.233 975.5266 1564.106
278.6836 333.36 343.9835
1066.199 961.4678 1499.802
1188.712 997.3785 1605.076
10.1157 10.44893 8.513058
1142.527 1011.421 1508.932
1043.076 935.1015 1427.22
1086.96 990.3709 1430.684
1078.937 1126.354 1350.637
